123	3534| 869 , | 7 12698 5735 5584
123	3534| 869 , 149 , | 154040
124	18 8015| 1262 , 2027 , 1162 , | 6828 5839 11982
124	18 8015| 1262 , 2027 , 557 , | 159 116 4227
124	18 8015| 1262 , 149 , | 3971 470
124	18 8015| 1262 , | 1516 11826
124	18 8015| 136 , 1795 , 28 , | 142 250 1139 4 18 716
124	18 8015| 136 , 1795 , | 1492 1531
124	18 8015| 1262 , | 2404 1086
124	18 8015| 1262 , 2027 , 6 , | 543 719
124	18 8015| 1262 , 2027 , | 808
124	18 8015| 1262 , 2027 , | 17932
124	18 8015| 1262 , 2027 , | 808
124	18 8015| 1262 , 2027 , 49 , | 3210
125	751 93| 34 , 149 , 10 1987 258 , | 7 63753
125	3419 127| 4 , | 26414 2277
125	751 93| 132 , | 509 321
125	751 93| 28 , | 7 20026
126	598| 1685 , | 18 42745 2699
126	598| 136 , | 16357
127	598| 216 10 1445 , 26 , | 217 1151
127	598| 216 10 1445 , | 3898
127	598| 216 10 1445 , | 39605
127	598| 643 , 13 , | 7 488
127	598| 4 , | 23281
127	598| | 217 5432 3687
127	598| 216 10 1445 , | 18 12300 4 5711
130	245 67019| 13 , | 7 627 3956
130	245 67019| 4 , 216 , 7601 , 679 , | 1755 154 960
130	245 67019| 4 , 216 , 7601 , | 7 6445
131	2887 154041| 885 , | 253
131	2887 154041| 993 , | 9221
131	2887 154041| 993 , 149 1354 2 , 10 , 2054 , | 270 149 7 2635
131	18 1942 4 1252| 136 , | 18 2056
131	18 1942 4 1252| 4 , | 125772
132	18 1045 1046| 10 3971 , | 1996 143 795
132	18 1045 1046| 10 3971 , 35 , | 7 423 4 4349 49 154042
132	245 1765| 247 , | 253
132	245 1765| 247 , 35 , | 7 2346
132	245 1765| 247 , | 18 1045 1046
132	18 1045 1046| 10 3971 , 136 , | 18 224 1341
133	253| 19697 , 362 253 144 , | 7 4136 5842
133	253| 19697 , 149 , | 8695
133	14614| 2193 , | 17110 1329
134	7 154045 7932 1255| 26 , | 315
134	7 154045 7932 1255| 49 , | 18 17556 5847 56732
135	5394| 586 , | 18 470 427
135	14249| 323 , 2759 , | 1872
135	5394| 586 , | 7 2712 854
135	5394| 586 , 4 , | 18 23532
135	5394| 586 , | 18 76560 4406
135	14249| 323 , 2759 , 26 , | 23530
136	4916 2592 9933| 216 792 , 35 , | 7 943
136	4916 2592 9933| 4 , | 24353
136	4916 2592 9933| | 61865 26 848
136	4916 2592 9933| 216 792 , | 18 151 152 125 4 9577 33365
136	4916 2592 9933| 216 792 , | 11989
138	9570 9830| 7 , 26 , | 7 12227
138	9570 9830| 4 , | 9011
139	18 2239 154 9625 7629| 2405 , | 7 3478
139	18 2239 154 9625 7629| 1539 25 , | 145 9448 6578 9625
141	710 3268 972| 300 , 26 , | 151 1289
141	710 3268 972| 300 , 132 , | 62 91
141	18 224 6745| 132 , | 3083 547
142	18 2107 4220| 6811 , 15377 , 27840 , 42 , 6613 , 4 , 2186 , 13 , | 727
142	18 2107 4220| 6811 , 15377 , 27840 , 42 , 6613 , 4 , 2186 , | 7722
142	18 2107 4220| 6811 , 15377 , 27840 , 42 , 6613 , | 18 10828
142	18 2107 4220| 6811 , 15377 , 27840 , 13 , | 1050
142	18 2107 4220| 6811 , | 7 2359 4 3352
142	18 2107 4220| 6811 , 4 , | 7 9497 8015
142	18 2107 4220| 6811 , 15377 , 136 , | 18 816 341
142	18 2107 4220| 6811 , 15377 , 27840 , | 122 3703
143	45 10 1539| | 523
143	45 10 1539| | 253
143	245 7773| 1325 , 10 , 1683 , | 45 10 1539
143	245 7773| 1325 , 10 1683 35 , | 7 1036
144	7 2233 1362| 26 , | 2298 2037
144	7 576 1892| 4 , | 9519
144	1259 10 18 1305| 13 , | 70645
145	6627 18246| 4 , | 1328 465 2773 5842
145	775 15871| 4 , | 6627 18246
146	877 5135 5136 4 5137| 993 , | 18 11900
146	877 5135 5136 4 5137| 993 , | 55 524
146	877 5135 5136 4 5137| 993 , | 1674 1086
147	8075| 4 , | 954 50899 4 7273
147	3623| 4 , | 2697
147	11786| 4 , | 4688
148	499 18 183 184| 433 , 42 , 1244 , 17338 , 136 , | 18 1580
148	499 18 183 184| 433 , 42 , 1244 , 17338 , | 7 47502
148	30465| 5552 , 136 , | 2438
148	30465| 5552 , | 499 18 183 184
148	499 18 183 184| 433 , | 817 820 809
148	499 18 183 184| 433 , | 2572 349
